keycodeid,keyword,ProductCode,ProductName,synonymId,synonymkeyword
1185,Paper Scrap,202,Waste Paper,NULL,NULL
1189,Waste Paper,202,Waste Paper,NULL,NULL
1192,Corrugated paper,1771,Paper,1546,Corrugated box
1192,Corrugated paper,1771,Paper,1552,Corrugated Carton
1192,Corrugated paper,1771,Paper,1555,Corrugated Carton Box
1192,Corrugated paper,1771,Paper,1549,Corrugated boxes
1192,Corrugated paper,1771,Paper,1558,Corrugated Paper
1210,Paper sanitary,10099,Disposable Medical - Surgical Items,NULL,NULL
1214,Disposable nappies,10099,Disposable Medical - Surgical Items,NULL,NULL
1221,Paper Stationery,5921,Stationery,NULL,NULL
1222,Carbon Paper,5921,Stationery,NULL,NULL
1239,self adhesive paper,205,Adhesive,NULL,NULL
1241,Wallpaper,3988,Paper Product,NULL,NULL
1246,Filter paper,1771,Paper,NULL,NULL
1248,School books,1141,Books And Magazines,NULL,NULL
1254,Cadastral maps,10015,Gis Gps,NULL,NULL
1263,Booklets,1141,Books And Magazines,NULL,NULL
1319,Printed stationery,5921,Stationery,NULL,NULL
1344,Petrol,6191,Petrol,NULL,NULL
1347,Unleaded petrol,6191,Petrol,NULL,NULL
1348,Leaded petrol,6191,Petrol,NULL,NULL
1350,Gas oil,5187,Lubricant Product,NULL,NULL
1351,Diesel oil,6191,Petrol,NULL,NULL
1352,Diesel fuel,5187,Lubricant Product,NULL,NULL
1353,Diesel,5187,Lubricant Product,NULL,NULL
1354,Fuel oil,5187,Lubricant Product,NULL,NULL
1355,Heating oil,5187,Lubricant Product,NULL,NULL
1356,Lubricating oil,5187,Lubricant Product,NULL,NULL
1357,Motor oil,5187,Lubricant Product,NULL,NULL
1360,Gear oil,5187,Lubricant Product,NULL,NULL
1364,Brake oil,5187,Lubricant Product,NULL,NULL
1368,Petroleum oil,5187,Lubricant Product,NULL,NULL
1371,Butane gas,1439,Gases,NULL,NULL
1373,Petroleum jelly,6191,Petrol,NULL,NULL
1374,Paraffin wax,5187,Lubricant Product,NULL,NULL
1380,Gases,1439,Gases,NULL,NULL
1382,Argon,3840,Chemical,NULL,NULL
1383,Argon gas,1439,Gases,NULL,NULL
1386,Helium gas,1439,Gases,NULL,NULL
1391,Hydrogen gas,1439,Gases,NULL,NULL
1392,Nitrogen,3840,Chemical,NULL,NULL
1393,Nitrogen gas,1439,Gases,NULL,NULL
1394,Liquid nitrogen,1085,Liquid Nitrogen,NULL,NULL
1395,Oxygen,1439,Gases,NULL,NULL
1408,Zinc oxide,3840,Chemical,NULL,NULL
1415,Magnesium oxide,3840,Chemical,NULL,NULL
1421,Magnesium hydroxide,3840,Chemical,NULL,NULL
1422,Hydrated lime,3840,Chemical,NULL,NULL
1441,Mercury,2637,Metal Products,NULL,NULL
1444,Phosphoric acid,3444,Acid,NULL,NULL
1447,Sulphur dioxide,3840,Chemical,NULL,NULL
1449,Hydrogen chloride,1439,Gases,NULL,NULL
1453,Sodium hydroxide,3840,Chemical,NULL,NULL
1454,Caustic soda,11,Caustic Soda,NULL,NULL
1458,Carbon,5231,Carbon,NULL,NULL
1459,Chlorine,480,Chlorine,NULL,NULL
1463,Aluminium chloride,3840,Chemical,NULL,NULL
1464,ferric chloride,3840,Chemical,NULL,NULL
1468,Sodium chlorite,3840,Chemical,NULL,NULL
1473,Hydrogen sulphide,3840,Chemical,NULL,NULL
1476,Sodium thiosulphate,3840,Chemical,NULL,NULL
1477,Ferric sulphate,3840,Chemical,NULL,NULL
1479,Sodium sulphate,3840,Chemical,NULL,NULL
1480,Iron sulphate,3840,Chemical,NULL,NULL
1481,Copper sulphate,3840,Chemical,NULL,NULL
1488,Sodium carbonate,3840,Chemical,NULL,NULL
1489,Sodium bicarbonate,3840,Chemical,NULL,NULL
1492,Potassium permanganate,3840,Chemical,NULL,NULL
1501,Hydrogen peroxide,3840,Chemical,NULL,NULL
1506,Sodium silicate,3840,Chemical,NULL,NULL
1509,Distilled water,3840,Chemical,NULL,NULL
1513,Basic Organic chemical,3840,Chemical,NULL,NULL
1514,Hydrocarbon,3840,Chemical,NULL,NULL
1517,Methane,1439,Gases,NULL,NULL
1518,Ethylene,3840,Chemical,NULL,NULL
1520,Butene,3840,Chemical,NULL,NULL
1521,Acetylene,3840,Chemical,NULL,NULL
1526,Benzene,3840,Chemical,NULL,NULL
1527,Toluene,3840,Chemical,NULL,NULL
1532,Styrene,3840,Chemical,NULL,NULL
1540,Methanol,3840,Chemical,NULL,NULL
1541,Ethanol,3840,Chemical,NULL,NULL
1544,Ethylene glycol,3840,Chemical,NULL,NULL
1551,Acetic acid,3444,Acid,NULL,NULL
1552,Peracetic acid,3444,Acid,NULL,NULL
1556,acrylic acid,3444,Acid,NULL,NULL
1565,Aldehyde,3840,Chemical,NULL,NULL
1570,Wood charcoal,2087,Coal,NULL,NULL
